# SNORKY 알고리즘 및 운영 정합성 체크리스트 (2026-08-25 최종 점검)
문서 버전: V2.3
최종 점검일: 2026-08-25
점검 상태: 전 항목 100% PASS 완료

## 1. 정합성 검증 체크리스트

| 번호 | 점검 항목 | 계약 및 설계 기준 | 검증 결과 | 상태 |
| :--- | :--- | :--- | :--- | :---: |
| 1 | **Result 4대 Mode 체계** | DB mode check 제약조건: `TODAY`, `TODAY_HOURLY`, `SHORT`, `MID` | 마이그레이션 적용 및 코드 일치 완료 | **PASS** |
| 2 | **TODAY 대표 1건 계약** | target_date 기준 1건의 대표 슬롯 유지, 과거 슬롯 잔존 방지 | 유일키 및 deterministic 슬롯 선택 검증 완료 | **PASS** |
| 3 | **TODAY_HOURLY 스크러버 계약** | 24시간 전체 24슬롯이 아닌 **03, 06, 09, 12, 15, 18, 21시 7개 주요 슬롯** 저장 | 7슬롯 DB UPSERT 및 스크러버 렌더링 검증 완료 | **PASS** |
| 4 | **SHORT 단기 예보 계약** | D+1~D+3일 5슬롯/일 (총 15슬롯) 선계산 저장 | 15슬롯 정상 생성 및 당일 특보 분리 완료 | **PASS** |
| 5 | **MID 중기 예보 계약** | D+4~D+6일 AM/PM 2슬롯/일 (총 6슬롯) 선계산 저장 | 6슬롯 정상 생성 및 해양 6시간 집계 완료 | **PASS** |
| 6 | **신규 Point 부트스트랩** | 신규 Point 추가 시 MISS 소스만 단발 호출 후 29개 슬롯 생성 | 온디맨드 체인 단발 테스트 29/29건 확인 | **PASS** |
| 7 | **KASI 출몰시각 규칙** | 임의 일출·일몰 수식 계산 fallback 전면 금지, KASI 정규 연동 | `calculateSunTimes` 제거 및 strict KASI 연동 | **PASS** |
| 8 | **RN1 강수 실황 규칙** | 과거 48h 생성·보간 금지, 현재 관측 1건만 단발 확보 | 현재 1건 단발 적재 및 결측 보간 금지 준수 | **PASS** |
| 9 | **KMA 중기 구역 매핑** | warning_area_code 임의 사용 금지, 확정 육상/기온 reg_id 사용 | 강원/경북/경남 등 확정 reg_id 매핑 연계 완료 | **PASS** |
| 10 | **Hard Safety BLOCK** | 유속>=0.60m/s 등 기준 초과 시 BLOCK 발효 (점수 null, 입수 금지) | 영진해변(유속 1.2m/s) 정상 BLOCK 발효 확인 | **PASS** |
| 11 | **Frontend Zero Math** | 프론트엔드에서 SNORKYEval/가중치 계산 완전 제거, DB 직접 렌더링 | Reader 모듈 전면 전환 및 렌더링 검증 완료 | **PASS** |

## 2. 포인트 평가 29개 슬롯 정합성 총괄표

| Mode | 대상 일자 | 슬롯 구성 | 슬롯 수 | 프론트엔드 소비 화면 |
| :--- | :--- | :--- | :---: | :--- |
| **TODAY** | 당일 (D+0) | KST 현재시각 최근접 대표 주간 슬롯 | **1건** | Home BEST 추천 카드, Today 상세 상단 |
| **TODAY_HOURLY** | 당일 (D+0) | 03:00, 06:00, 09:00, 12:00, 15:00, 18:00, 21:00 (7개 주요 슬롯) | **7건** | Today 상세 24시간 타임라인 스크러버 |
| **SHORT** | D+1 ~ D+3 (3일간) | 06:00, 09:00, 12:00, 15:00, 18:00 (3시간 간격) | **15건** | 3일 단기 예보 타임라인 카드 및 상세 모달 |
| **MID** | D+4 ~ D+6 (3일간) | AM (06:00~12:00), PM (12:00~18:00) | **6건** | 중기 6일 예보 카드 |
| **합계** | — | — | **29건** | — |

## 3. 최종 결론
- 신규 포인트 추가, 기존 61개 포인트 배치 갱신, 원천 API 결측 시 단발 부트스트랩, 프론트엔드 스크러버 소비까지 모든 파이프라인 정합성이 100% 일치합니다.
